,labels,source,path
0,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-01-01-02-02-01.wav
1,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-02-01-02-02-01.wav
2,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-02-01-02-01-01.wav
3,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-01-01-01-02-01.wav
4,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-01-01-02-01-01.wav
5,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-02-01-01-02-01.wav
6,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-02-01-01-01-01.wav
7,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-02-02-01-01-01.wav
8,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-01-01-01-01-01.wav
9,male_happy,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-03-01-01-02-01.wav
10,male_happy,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-03-02-01-02-01.wav
11,male_happy,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-03-01-02-01-01.wav
12,male_sad,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-04-01-02-01-01.wav
13,male_sad,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-04-01-02-02-01.wav
14,male_sad,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-04-02-01-01-01.wav
15,male_happy,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-03-02-02-02-01.wav
16,male_sad,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-04-01-01-01-01.wav
17,male_happy,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-03-02-02-01-01.wav
18,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-02-02-02-01-01.wav
19,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-02-02-01-02-01.wav
20,male_neutral,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-02-02-02-02-01.wav
21,male_sad,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-04-02-01-02-01.wav
22,male_sad,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-04-02-02-02-01.wav
23,male_sad,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-04-01-01-02-01.wav
24,male_happy,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-03-01-01-01-01.wav
25,male_sad,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-04-02-02-01-01.wav
26,male_happy,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-03-01-02-02-01.wav
27,male_happy,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-03-02-01-01-01.wav
28,male_fear,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-06-02-02-01-01.wav
29,male_angry,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-05-02-01-02-01.wav
30,male_angry,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-05-01-02-02-01.wav
31,male_disgust,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-07-01-01-01-01.wav
32,male_disgust,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-07-02-01-02-01.wav
33,male_fear,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-06-01-01-02-01.wav
34,male_disgust,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-07-01-02-02-01.wav
35,male_angry,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-05-02-01-01-01.wav
36,male_fear,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-06-02-01-02-01.wav
37,male_fear,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-06-01-02-02-01.wav
38,male_angry,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-05-01-01-01-01.wav
39,male_fear,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-06-02-01-01-01.wav
40,male_angry,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-05-01-01-02-01.wav
41,male_fear,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-06-01-01-01-01.wav
42,male_angry,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-05-01-02-01-01.wav
43,male_disgust,RAVDESS,/content/drive/MyDrive/dataset/Actor_01/03-01-07-02-01-01-01.wav
